Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Net Emissions
United States,247000000000.0,252000000000.0,257000000000.0,262000000000.0,268000000000.0,273000000000.0,279000000000.0,284000000000.0,290000000000.0,296000000000.0,302000000000.0,308000000000.0,314000000000.0,320000000000.0,326000000000.0,332000000000.0,338000000000.0,344000000000.0,350000000000.0,356000000000.0,361000000000.0,367000000000.0,372000000000.0,378000000000.0,383000000000.0,389000000000.0,394000000000.0,399000000000.0,27123000000000.0
China,41802447868.0,44341371836.0,46998484242.0,49834279715.0,52844521924.0,56109578888.0,59517925478.0,62932474765.0,66198377385.0,69456512272.0,72805807048.0,76231951110.0,80014390407.0,84466700703.0,89592595120.0,95363763560.0,102000000000.0,109000000000.0,116000000000.0,124000000000.0,132000000000.0,142000000000.0,151000000000.0,161000000000.0,171000000000.0,181000000000.0,190000000000.0,200000000000.0,8482533546963.0
Germany,66796676576.0,67811648862.0,68778354691.0,69735348871.0,70675756860.0,71615843606.0,72576017905.0,73508365264.0,74432769794.0,75329652478.0,76230612569.0,77148089397.0,78049044496.0,78951014361.0,79839010870.0,80706234376.0,81584981507.0,82437077670.0,83291498632.0,84081462154.0,84915147072.0,85725949397.0,86541146806.0,87373789801.0,88167425644.0,88964503810.0,89766256817.0,90565630028.0,6646797930942.0
United Kingdom,62691363779.0,63300384201.0,63893888327.0,64473291109.0,65048948495.0,65615782597.0,66204276059.0,66766760794.0,67334246973.0,67894752319.0,68461813771.0,69037741271.0,69597782225.0,70169383194.0,70742586958.0,71312588008.0,71880240253.0,72439562234.0,72984410472.0,73479015204.0,73991229457.0,74461040920.0,74948711673.0,75426444245.0,75865135422.0,76287797976.0,76686348860.0,77071055648.0,5904199747332.0
Japan,28811788385.0,29978828902.0,31155771473.0,32325968206.0,33551141627.0,34788994450.0,36038870138.0,37282237270.0,38485947804.0,39725787924.0,40988522386.0,42236609810.0,43513846356.0,44799231768.0,46079267890.0,47366124205.0,48628763657.0,49928815630.0,51158061080.0,52318264713.0,53529837581.0,54791236171.0,56093319098.0,57407388670.0,58671561922.0,59895228397.0,61099547020.0,62304608199.0,3818866712196.0
France,26944311311.0,27372960765.0,27791405931.0,28190050736.0,28583445652.0,28984009504.0,29400199056.0,29809648935.0,30239437901.0,30665112551.0,31085765260.0,31511647721.0,31932567219.0,32360569979.0,32789497726.0,33222136998.0,33644238253.0,34057136609.0,34463927432.0,34850869522.0,35248769990.0,35621562606.0,35995675228.0,36369933830.0,36713506462.0,37061670133.0,37411774820.0,37768075471.0,2730269722803.0
India,11848166774.0,12504907667.0,13203664617.0,13926558876.0,14690800843.0,15502261630.0,16381088594.0,17296137907.0,18229687165.0,19224920237.0,20254557996.0,21290198710.0,22337794361.0,23429667371.0,24575212605.0,25785358272.0,27072507483.0,28462760974.0,30010752013.0,31730872573.0,33430899968.0,35248071567.0,37231830380.0,39229708958.0,41437242850.0,43713650045.0,46091097909.0,48557863281.0,2198094724878.0
Canada,17171743393.0,17626370897.0,18095235665.0,18563115240.0,19046173697.0,19541838212.0,20052394999.0,20577648070.0,21111884568.0,21661927718.0,22234458458.0,22799093778.0,23369978876.0,23957575166.0,24543407966.0,25120209594.0,25690697237.0,26284837478.0,26859643349.0,27400162036.0,27955621729.0,28516397630.0,29080072830.0,29648965226.0,30216973614.0,30782550291.0,31340739291.0,31913521876.0,2043489716652.0
Italy,11874166575.0,12314260997.0,12753471411.0,13185072385.0,13610563020.0,14062541927.0,14507103501.0,14956569121.0,15416809449.0,15881410902.0,16352178649.0,16828380518.0,17306089856.0,17797570580.0,18293098366.0,18788332381.0,19278082351.0,19758573936.0,20226635996.0,20642568389.0,21067441551.0,21480873056.0,21872863421.0,22236263323.0,22584739563.0,22940222777.0,23290545792.0,23645999964.0,1508857289271.0
Brazil,4635811488.0,4853038960.0,5071422464.0,5299755680.0,5539226400.0,5794809776.0,6076004560.0,6372589816.0,6680895536.0,6997177976.0,7321404016.0,7654391416.0,7981826248.0,8299334696.0,8633009840.0,8975096312.0,9317042680.0,9673961432.0,10054306360.0,10414397136.0,10825637328.0,11255832230.0,11715895322.0,12209488834.0,12729015183.0,13241097065.0,13714838441.0,14190905220.0,736584637245.0
